time	V(c)
6.544999999997470e-003	-2.651704e-003
6.564999999997462e-003	-3.894997e-003
6.584999999997454e-003	-5.109810e-003
6.604999999997446e-003	-6.272148e-003
6.624999999997439e-003	-7.357014e-003
6.644999999997431e-003	-8.339170e-003
6.664999999997423e-003	-9.194093e-003
6.684999999997415e-003	-9.899080e-003
6.704999999997408e-003	-1.043443e-002
6.724999999997400e-003	-1.078457e-002
6.744999999997392e-003	-1.093904e-002
6.764999999997384e-003	-1.089317e-002
6.784999999997377e-003	-1.064842e-002
6.804999999997369e-003	-1.021223e-002
6.824999999997361e-003	-9.597566e-003
6.844999999997353e-003	-8.822063e-003
6.864999999997345e-003	-7.906955e-003
6.884999999997338e-003	-6.875910e-003
6.904999999997330e-003	-5.753875e-003
6.924999999997322e-003	-4.566034e-003
6.944999999997314e-003	-3.336944e-003
6.964999999997307e-003	-2.089874e-003
6.984999999997299e-003	-8.463606e-004
7.004999999997291e-003	3.740654e-004
7.024999999997283e-003	1.553984e-003
7.044999999997276e-003	2.678087e-003
7.064999999997268e-003	3.733089e-003
7.084999999997260e-003	4.707600e-003
7.104999999997252e-003	5.591963e-003
7.124999999997245e-003	6.378088e-003
7.144999999997237e-003	7.059297e-003
7.164999999997229e-003	7.630181e-003
7.184999999997221e-003	8.086475e-003
7.204999999997214e-003	8.424954e-003
7.224999999997206e-003	8.643335e-003
7.244999999997198e-003	8.740110e-003
7.264999999997190e-003	8.714412e-003
7.284999999997183e-003	8.566071e-003
7.304999999997175e-003	8.295888e-003
7.324999999997167e-003	7.905716e-003
7.344999999997159e-003	7.398384e-003
7.364999999997152e-003	6.777693e-003
7.384999999997144e-003	6.048489e-003
7.404999999997136e-003	5.216799e-003
7.424999999997128e-003	4.289965e-003
7.444999999997121e-003	3.276813e-003
7.464999999997113e-003	2.187816e-003
7.484999999997105e-003	1.035263e-003
7.504999999997097e-003	-1.665926e-004
7.524999999997090e-003	-1.401419e-003
7.544999999997082e-003	-2.650754e-003
7.564999999997074e-003	-3.894054e-003
7.584999999997066e-003	-5.108873e-003
7.604999999997059e-003	-6.271218e-003
7.624999999997051e-003	-7.356090e-003
7.644999999997043e-003	-8.338252e-003
7.664999999997035e-003	-9.193179e-003
7.684999999997028e-003	-9.898170e-003
7.704999999997020e-003	-1.043352e-002
7.724999999997012e-003	-1.078366e-002
7.744999999997004e-003	-1.093813e-002
7.764999999996997e-003	-1.089227e-002
7.784999999996989e-003	-1.064751e-002
7.804999999996981e-003	-1.021132e-002
7.824999999996973e-003	-9.596653e-003
7.844999999996966e-003	-8.821147e-003
7.864999999996958e-003	-7.906034e-003
7.884999999996950e-003	-6.874983e-003
7.904999999996942e-003	-5.752942e-003
7.924999999996935e-003	-4.565095e-003
7.944999999996927e-003	-3.335998e-003
7.964999999996919e-003	-2.088923e-003
7.984999999996911e-003	-8.454027e-004
8.004999999996904e-003	3.750290e-004
8.024999999996896e-003	1.554953e-003
8.044999999996888e-003	2.679061e-003
8.064999999996880e-003	3.734068e-003
8.084999999996873e-003	4.708583e-003
8.104999999996865e-003	5.592949e-003
8.124999999996857e-003	6.379077e-003
8.144999999996849e-003	7.060289e-003
8.164999999996842e-003	7.631175e-003
8.184999999996834e-003	8.087470e-003
8.204999999996826e-003	8.425952e-003
8.224999999996818e-003	8.644332e-003
8.244999999996810e-003	8.741109e-003
8.264999999996803e-003	8.715410e-003
8.284999999996795e-003	8.567068e-003
8.304999999996787e-003	8.296884e-003
8.324999999996779e-003	7.906710e-003
8.344999999996772e-003	7.399376e-003
8.364999999996764e-003	6.778682e-003
8.384999999996756e-003	6.049477e-003
8.404999999996748e-003	5.217782e-003
8.424999999996741e-003	4.290945e-003
8.444999999996733e-003	3.277788e-003
8.464999999996725e-003	2.188787e-003
8.484999999996717e-003	1.036229e-003
8.504999999996710e-003	-1.656327e-004
8.524999999996702e-003	-1.400465e-003
8.544999999996694e-003	-2.649806e-003
8.564999999996686e-003	-3.893112e-003
8.584999999996679e-003	-5.107938e-003
8.604999999996671e-003	-6.270289e-003
8.624999999996663e-003	-7.355168e-003
8.644999999996655e-003	-8.337334e-003
8.664999999996648e-003	-9.192267e-003
8.684999999996640e-003	-9.897262e-003
8.704999999996632e-003	-1.043262e-002
8.724999999996624e-003	-1.078276e-002
8.744999999996617e-003	-1.093723e-002
8.764999999996609e-003	-1.089137e-002
8.784999999996601e-003	-1.064661e-002
8.804999999996593e-003	-1.021041e-002
8.824999999996586e-003	-9.595744e-003
8.844999999996578e-003	-8.820232e-003
8.864999999996570e-003	-7.905114e-003
8.884999999996562e-003	-6.874057e-003
8.904999999996555e-003	-5.752010e-003
8.924999999996547e-003	-4.564157e-003
8.944999999996539e-003	-3.335054e-003
8.964999999996531e-003	-2.087972e-003
8.984999999996524e-003	-8.444466e-004
9.004999999996516e-003	3.759908e-004
9.024999999996508e-003	1.555920e-003
9.044999999996500e-003	2.680033e-003
9.064999999996493e-003	3.735044e-003
9.084999999996485e-003	4.709564e-003
9.104999999996477e-003	5.593933e-003
9.124999999996469e-003	6.380064e-003
9.144999999996462e-003	7.061279e-003
9.164999999996454e-003	7.632167e-003
9.184999999996446e-003	8.088464e-003
9.204999999996438e-003	8.426947e-003
9.224999999996431e-003	8.645328e-003
9.244999999996423e-003	8.742104e-003
9.264999999996415e-003	8.716405e-003
9.284999999996407e-003	8.568062e-003
9.304999999996400e-003	8.297877e-003
9.324999999996392e-003	7.907702e-003
9.344999999996384e-003	7.400366e-003
9.364999999996376e-003	6.779670e-003
