time	V(vout)
8.684999999996640e-003	1.895463e+000
8.704999999996632e-003	1.924856e+000
8.724999999996624e-003	1.943806e+000
8.744999999996617e-003	1.952040e+000
8.764999999996609e-003	1.949440e+000
8.784999999996601e-003	1.936044e+000
8.804999999996593e-003	1.912045e+000
8.824999999996586e-003	1.877790e+000
8.844999999996578e-003	1.833784e+000
8.864999999996570e-003	1.780688e+000
8.884999999996562e-003	1.719315e+000
8.904999999996555e-003	1.650623e+000
8.924999999996547e-003	1.575701e+000
8.944999999996539e-003	1.495751e+000
8.964999999996531e-003	1.412068e+000
8.984999999996524e-003	1.326013e+000
9.004999999996516e-003	1.238983e+000
9.024999999996508e-003	1.152387e+000
9.044999999996500e-003	1.067620e+000
9.064999999996493e-003	9.860319e-001
9.084999999996485e-003	9.089091e-001
9.104999999996477e-003	8.374532e-001
9.124999999996469e-003	7.727632e-001
9.144999999996462e-003	7.158211e-001
9.164999999996454e-003	6.674802e-001
9.184999999996446e-003	6.284550e-001
9.204999999996438e-003	5.993140e-001
9.224999999996431e-003	5.804764e-001
9.244999999996423e-003	5.722169e-001
9.264999999996415e-003	5.746733e-001
9.284999999996407e-003	5.878376e-001
9.304999999996400e-003	6.115332e-001
9.324999999996392e-003	6.454110e-001
9.344999999996384e-003	6.889638e-001
9.364999999996376e-003	7.415382e-001
9.384999999996369e-003	8.023418e-001
9.404999999996361e-003	8.704512e-001
9.424999999996353e-003	9.448210e-001
9.444999999996345e-003	1.024297e+000
9.464999999996338e-003	1.107632e+000
9.484999999996330e-003	1.193503e+000
9.504999999996322e-003	1.280534e+000
9.524999999996314e-003	1.367319e+000
9.544999999996306e-003	1.452451e+000
9.564999999996299e-003	1.534545e+000
9.584999999996291e-003	1.612270e+000
9.604999999996283e-003	1.684372e+000
9.624999999996275e-003	1.749700e+000
9.644999999996268e-003	1.807229e+000
9.664999999996260e-003	1.856067e+000
9.684999999996252e-003	1.895476e+000
9.704999999996244e-003	1.924870e+000
9.724999999996237e-003	1.943819e+000
9.744999999996229e-003	1.952053e+000
9.764999999996221e-003	1.949453e+000
9.784999999996213e-003	1.936058e+000
9.804999999996206e-003	1.912058e+000
9.824999999996198e-003	1.877803e+000
9.844999999996190e-003	1.833798e+000
9.864999999996182e-003	1.780702e+000
9.884999999996175e-003	1.719329e+000
9.904999999996167e-003	1.650636e+000
9.924999999996159e-003	1.575714e+000
9.944999999996151e-003	1.495764e+000
9.964999999996144e-003	1.412082e+000
9.984999999996136e-003	1.326026e+000
1.000499999999613e-002	1.238996e+000
1.002499999999612e-002	1.152401e+000
1.004499999999611e-002	1.067633e+000
1.006499999999611e-002	9.860451e-001
1.008499999999610e-002	9.089222e-001
1.010499999999609e-002	8.374663e-001
1.012499999999608e-002	7.727762e-001
1.014499999999607e-002	7.158341e-001
1.016499999999607e-002	6.674932e-001
1.018499999999606e-002	6.284680e-001
1.020499999999605e-002	5.993270e-001
1.022499999999604e-002	5.804894e-001
1.024499999999604e-002	5.722299e-001
1.026499999999603e-002	5.746862e-001
1.028499999999602e-002	5.878506e-001
1.030499999999601e-002	6.115462e-001
1.032499999999600e-002	6.454240e-001
1.034499999999600e-002	6.889768e-001
1.036499999999599e-002	7.415512e-001
1.038499999999598e-002	8.023549e-001
1.040499999999597e-002	8.704643e-001
1.042499999999597e-002	9.448341e-001
1.044499999999596e-002	1.024310e+000
1.046499999999595e-002	1.107645e+000
1.048499999999594e-002	1.193516e+000
1.050499999999593e-002	1.280547e+000
1.052499999999593e-002	1.367333e+000
