time	V(b)
1.046499999999595e-002	6.939324e-001
1.048499999999594e-002	6.927795e-001
1.050499999999593e-002	6.915776e-001
1.052499999999593e-002	6.903429e-001
1.054499999999592e-002	6.890941e-001
1.056499999999591e-002	6.878515e-001
1.058499999999590e-002	6.866378e-001
1.060499999999590e-002	6.854767e-001
1.062499999999589e-002	6.843933e-001
1.064499999999588e-002	6.834129e-001
1.066499999999587e-002	6.825598e-001
1.068499999999586e-002	6.818569e-001
1.070499999999586e-002	6.813236e-001
1.072499999999585e-002	6.809757e-001
1.074499999999584e-002	6.808235e-001
1.076499999999583e-002	6.808717e-001
1.078499999999583e-002	6.811187e-001
1.080499999999582e-002	6.815571e-001
1.082499999999581e-002	6.821738e-001
1.084499999999580e-002	6.829513e-001
1.086499999999580e-002	6.838683e-001
1.088499999999579e-002	6.849009e-001
1.090499999999578e-002	6.860244e-001
1.092499999999577e-002	6.872135e-001
1.094499999999576e-002	6.884435e-001
1.096499999999576e-002	6.896913e-001
1.098499999999575e-002	6.909351e-001
1.100499999999574e-002	6.921557e-001
1.102499999999573e-002	6.933354e-001
1.104499999999573e-002	6.944590e-001
1.106499999999572e-002	6.955132e-001
1.108499999999571e-002	6.964867e-001
1.110499999999570e-002	6.973698e-001
1.112499999999569e-002	6.981543e-001
1.114499999999569e-002	6.988338e-001
1.116499999999568e-002	6.994027e-001
1.118499999999567e-002	6.998569e-001
1.120499999999566e-002	7.001932e-001
1.122499999999566e-002	7.004092e-001
1.124499999999565e-002	7.005036e-001
1.126499999999564e-002	7.004756e-001
1.128499999999563e-002	7.003248e-001
1.130499999999562e-002	7.000524e-001
1.132499999999562e-002	6.996600e-001
1.134499999999561e-002	6.991506e-001
1.136499999999560e-002	6.985281e-001
1.138499999999559e-002	6.977972e-001
1.140499999999559e-002	6.969640e-001
1.142499999999558e-002	6.960360e-001
1.144499999999557e-002	6.950219e-001
1.146499999999556e-002	6.939322e-001
1.148499999999555e-002	6.927793e-001
1.150499999999555e-002	6.915773e-001
1.152499999999554e-002	6.903427e-001
1.154499999999553e-002	6.890939e-001
1.156499999999552e-002	6.878514e-001
1.158499999999552e-002	6.866375e-001
1.160499999999551e-002	6.854765e-001
1.162499999999550e-002	6.843931e-001
1.164499999999549e-002	6.834127e-001
1.166499999999549e-002	6.825596e-001
1.168499999999548e-002	6.818566e-001
1.170499999999547e-002	6.813234e-001
1.172499999999546e-002	6.809755e-001
1.174499999999545e-002	6.808233e-001
1.176499999999545e-002	6.808714e-001
1.178499999999544e-002	6.811184e-001
1.180499999999543e-002	6.815568e-001
1.182499999999542e-002	6.821736e-001
1.184499999999542e-002	6.829511e-001
1.186499999999541e-002	6.838681e-001
1.188499999999540e-002	6.849008e-001
1.190499999999539e-002	6.860242e-001
1.192499999999538e-002	6.872133e-001
1.194499999999538e-002	6.884433e-001
1.196499999999537e-002	6.896911e-001
1.198499999999536e-002	6.909350e-001
1.200499999999535e-002	6.921555e-001
1.202499999999535e-002	6.933352e-001
1.204499999999534e-002	6.944588e-001
1.206499999999533e-002	6.955131e-001
1.208499999999532e-002	6.964865e-001
1.210499999999531e-002	6.973696e-001
